

[04-05-2014:2:15:18 PM] : B2KER001 has logged in to IDSIL / PJO using the System 117.201.27.34


[04-05-2014:3:45:39 PM] : B2KER001 has logged in to IDSIL / PJO using the System 117.201.27.34


[04-05-2014:3:47:15 PM] :  has uploaded a DUP file 69526330 in IDSIL / PJO


[04-05-2014:6:11:11 PM] : B2KER001 has logged in to IDSIL / PJO using the System 117.201.22.110


[04-05-2014:6:11:53 PM] : B2KER001 has picked a file 69525168 in IDSIL / PJO


[04-05-2014:6:27:30 PM] : B2KER001 has picked a file 69525208 in IDSIL / PJO


[04-05-2014:6:42:26 PM] : B2KER001 has picked a file 69525288 in IDSIL / PJO


[04-05-2014:6:55:45 PM] : B2KER001 has picked a file 69525368 in IDSIL / PJO


[04-05-2014:7:18:17 PM] : B2KER001 has picked a file 69525413 in IDSIL / PJO


[04-05-2014:7:29:44 PM] : B2KER001 has picked a file 69525424 in IDSIL / PJO


[04-05-2014:8:15:17 PM] : B2KER001 has picked a file 69525119 in IDSIL / PJO


[04-05-2014:8:15:25 PM] : B2KER001 has picked a file 69525127 in IDSIL / PJO


[04-05-2014:8:15:32 PM] : B2KER001 has picked a file 69525134 in IDSIL / PJO


[04-05-2014:8:15:41 PM] : B2KER001 has picked a file 69525143 in IDSIL / PJO
