

[10-08-2015:3:33:13 AM] : B2KQA57 has logged in to IDSIL / PJO using the System 101.222.233.10


[10-08-2015:5:33:11 AM] : B2KQA57 has picked a file 93368411 in IDSIL / PJO


[10-08-2015:5:38:10 AM] : B2KQA57 has picked a file 93368234 in IDSIL / PJO


[10-08-2015:5:41:34 AM] : B2KQA57 has picked a file 93368265 in IDSIL / PJO


[10-08-2015:5:47:29 AM] : B2KQA57 has picked a file 93368286 in IDSIL / PJO


[10-08-2015:6:06:42 AM] : B2KQA57 has uploaded a file 93368286 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:06:53 AM] : B2KQA57 has uploaded a file 93205271 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:06:57 AM] : B2KQA57 has uploaded a file 93204746 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:07:04 AM] : B2KQA57 has uploaded a file 93186688 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:07:09 AM] : B2KQA57 has uploaded a file 93186822 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:07:16 AM] : B2KQA57 has uploaded a file 93186955 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:07:23 AM] : B2KQA57 has uploaded a file 93209085 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:07:29 AM] : B2KQA57 has uploaded a file 93216029 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:07:36 AM] : B2KQA57 has uploaded a file 93216564 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:07:41 AM] : B2KQA57 has uploaded a file 93215920 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:07:49 AM] : B2KQA57 has uploaded a file 93217318 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:07:54 AM] : B2KQA57 has uploaded a file 93217721 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:08:02 AM] : B2KQA57 has uploaded a file 93218066 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:08:07 AM] : B2KQA57 has uploaded a file 93218055 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:08:14 AM] : B2KQA57 has uploaded a file 93218835 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:08:19 AM] : B2KQA57 has uploaded a file 93220578 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:08:26 AM] : B2KQA57 has uploaded a file 93219434 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:08:31 AM] : B2KQA57 has uploaded a file 93217998 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:09:39 AM] : B2KQA57 has uploaded a file 93219851 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:09:44 AM] : B2KQA57 has uploaded a file 93232778 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:09:50 AM] : B2KQA57 has uploaded a file 93232456 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:09:54 AM] : B2KQA57 has uploaded a file 93231595 to Hospital/Customer in IDSIL / PJO


[10-08-2015:6:10:01 AM] : B2KQA57 has uploaded a file 93232641 to Hospital/Customer in IDSIL / PJO


