

[12-07-2015:6:18:16 AM] : B2KQA01 has logged in to IDSIL / PJO using the System 59.93.8.183


[12-07-2015:6:18:44 AM] : B2KQA01 has picked a file 92849503 in IDSIL / PJO


[12-07-2015:6:50:52 AM] : B2KQA01 has picked a file 92850257 in IDSIL / PJO


[12-07-2015:6:52:32 AM] : B2KQA01 has uploaded a file 92693643 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:33 AM] : B2KQA01 has uploaded a file 92705623 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:33 AM] : B2KQA01 has uploaded a file 92693139 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:34 AM] : B2KQA01 has uploaded a file 92702458 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:34 AM] : B2KQA01 has uploaded a file 92700905 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:45 AM] : B2KQA01 has uploaded a file 92690182 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:46 AM] : B2KQA01 has uploaded a file 92696510 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:46 AM] : B2KQA01 has uploaded a file 92695217 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:46 AM] : B2KQA01 has uploaded a file 92695166 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:47 AM] : B2KQA01 has uploaded a file 92692278 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:53 AM] : B2KQA01 has uploaded a file 92705351 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:55 AM] : B2KQA01 has uploaded a file 92700579 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:52:55 AM] : B2KQA01 has uploaded a file 92690982 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:53:03 AM] : B2KQA01 has uploaded a file 92710176 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:53:03 AM] : B2KQA01 has uploaded a file 92709348 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:53:11 AM] : B2KQA01 has uploaded a file 92710324 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:53:12 AM] : B2KQA01 has uploaded a file 92709748 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:53:12 AM] : B2KQA01 has uploaded a file 92708592 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:53:21 AM] : B2KQA01 has uploaded a file 92710340 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:53:22 AM] : B2KQA01 has uploaded a file 92706940 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:53:23 AM] : B2KQA01 has uploaded a file 92710346 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:53:23 AM] : B2KQA01 has uploaded a file 92710332 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:53:24 AM] : B2KQA01 has uploaded a file 92688025 to Hospital/Customer in IDSIL / PJO


[12-07-2015:6:53:32 AM] : B2KQA01 has uploaded a file 92714483 to Hospital/Customer in IDSIL / PJO


