

[27-07-2015:7:05:36 AM] : B2KQA58 has logged in to IDSIL / PJO using the System 115.241.103.81


[27-07-2015:7:06:16 AM] : B2KQA58 has uploaded a file 93072399 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:06:22 AM] : B2KQA58 has uploaded a file 93072788 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:06:28 AM] : B2KQA58 has uploaded a file 93073100 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:06:34 AM] : B2KQA58 has uploaded a file 93074211 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:06:40 AM] : B2KQA58 has uploaded a file 93088155 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:06:47 AM] : B2KQA58 has uploaded a file 93090058 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:06:54 AM] : B2KQA58 has uploaded a file 93095766 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:07:00 AM] : B2KQA58 has uploaded a file 93095969 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:07:06 AM] : B2KQA58 has uploaded a file 93096129 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:07:12 AM] : B2KQA58 has uploaded a file 93096408 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:07:20 AM] : B2KQA58 has uploaded a file 93096352 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:07:26 AM] : B2KQA58 has uploaded a file 93096956 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:07:33 AM] : B2KQA58 has uploaded a file 93098784 to Hospital/Customer in IDSIL / PJO


[27-07-2015:7:07:44 AM] : B2KQA58 has uploaded a file 93097494 to Hospital/Customer in IDSIL / PJO
