

[19-09-2015:6:05:49 PM] : B2KQA14 has logged in to IDSIL / PJO using the System 115.241.51.247


[19-09-2015:6:10:11 PM] : B2KQA14 has picked a file 94111625 in IDSIL / PJO


[19-09-2015:6:12:06 PM] : B2KQA14 has uploaded a file 94049325 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:06 PM] : B2KQA14 has uploaded a file 94052714 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:07 PM] : B2KQA14 has uploaded a file 94051413 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:08 PM] : B2KQA14 has uploaded a file 94049840 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:08 PM] : B2KQA14 has uploaded a file 94049757 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:08 PM] : B2KQA14 has uploaded a file 94049628 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:09 PM] : B2KQA14 has uploaded a file 94049135 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:10 PM] : B2KQA14 has uploaded a file 94048689 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:10 PM] : B2KQA14 has uploaded a file 94041110 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:11 PM] : B2KQA14 has uploaded a file 94039952 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:31 PM] : B2KQA14 has uploaded a file 94062473 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:32 PM] : B2KQA14 has uploaded a file 94054110 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:32 PM] : B2KQA14 has uploaded a file 94054400 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:33 PM] : B2KQA14 has uploaded a file 94060977 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:34 PM] : B2KQA14 has uploaded a file 94056147 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:34 PM] : B2KQA14 has uploaded a file 94053851 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:35 PM] : B2KQA14 has uploaded a file 94054449 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:35 PM] : B2KQA14 has uploaded a file 94049975 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:36 PM] : B2KQA14 has uploaded a file 94053914 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:36 PM] : B2KQA14 has uploaded a file 94052544 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:55 PM] : B2KQA14 has uploaded a file 94070668 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:56 PM] : B2KQA14 has uploaded a file 94070210 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:57 PM] : B2KQA14 has uploaded a file 94070462 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:58 PM] : B2KQA14 has uploaded a file 94070064 to Hospital/Customer in IDSIL / PJO


[19-09-2015:6:12:59 PM] : B2KQA14 has uploaded a file 94069342 to Hospital/Customer in IDSIL / PJO


