

[26-09-2015:6:06:43 AM] : B2KQA01 has logged in to IDSIL / PJO using the System 117.201.23.36


[26-09-2015:6:06:53 AM] : B2KQA01 has picked a file 94230740 in IDSIL / PJO


[26-09-2015:6:11:17 AM] : B2KQA01 has uploaded a file 93942161 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:17 AM] : B2KQA01 has uploaded a file 93943174 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:18 AM] : B2KQA01 has uploaded a file 93943793 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:18 AM] : B2KQA01 has uploaded a file 93945908 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:18 AM] : B2KQA01 has uploaded a file 93947411 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:19 AM] : B2KQA01 has uploaded a file 93947592 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:19 AM] : B2KQA01 has uploaded a file 93954857 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:20 AM] : B2KQA01 has uploaded a file 93953780 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:21 AM] : B2KQA01 has uploaded a file 93949907 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:21 AM] : B2KQA01 has uploaded a file 93955500 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:35 AM] : B2KQA01 has uploaded a file 93956442 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:36 AM] : B2KQA01 has uploaded a file 93960209 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:37 AM] : B2KQA01 has uploaded a file 93942646 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:38 AM] : B2KQA01 has uploaded a file 93961427 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:38 AM] : B2KQA01 has uploaded a file 93944164 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:38 AM] : B2KQA01 has uploaded a file 93924943 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:39 AM] : B2KQA01 has uploaded a file 93961809 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:40 AM] : B2KQA01 has uploaded a file 93942134 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:40 AM] : B2KQA01 has uploaded a file 93961551 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:40 AM] : B2KQA01 has uploaded a file 93970090 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:59 AM] : B2KQA01 has uploaded a file 93978486 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:11:59 AM] : B2KQA01 has uploaded a file 93974795 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:12:00 AM] : B2KQA01 has uploaded a file 93969245 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:12:00 AM] : B2KQA01 has uploaded a file 93971801 to Hospital/Customer in IDSIL / PJO


[26-09-2015:6:12:01 AM] : B2KQA01 has uploaded a file 93974126 to Hospital/Customer in IDSIL / PJO


