

[28-11-2015:3:35:50 PM] : B2KQA11 has logged in to IDSIL / PJO using the System 123.255.248.35


[28-11-2015:3:36:06 PM] : B2KQA11 has uploaded a file 95356677 to Hospital/Customer in IDSIL / PJO


[28-11-2015:3:36:07 PM] : B2KQA11 has uploaded a file 95355853 to Hospital/Customer in IDSIL / PJO


[28-11-2015:3:36:07 PM] : B2KQA11 has uploaded a file 95356747 to Hospital/Customer in IDSIL / PJO


[28-11-2015:3:36:08 PM] : B2KQA11 has uploaded a file 95357094 to Hospital/Customer in IDSIL / PJO


[28-11-2015:3:36:20 PM] : B2KQA11 has uploaded a file 95357087 to Hospital/Customer in IDSIL / PJO


[28-11-2015:3:36:20 PM] : B2KQA11 has uploaded a file 95357066 to Hospital/Customer in IDSIL / PJO


[28-11-2015:3:36:21 PM] : B2KQA11 has uploaded a file 95357091 to Hospital/Customer in IDSIL / PJO


[28-11-2015:3:36:22 PM] : B2KQA11 has uploaded a file 95360482 to Hospital/Customer in IDSIL / PJO


[28-11-2015:3:36:23 PM] : B2KQA11 has uploaded a file 95359851 to Hospital/Customer in IDSIL / PJO


[28-11-2015:3:36:46 PM] : B2KQA11 has viewed the Edited file details in IDSIL/PJO from 2015-11-01 to 2015-11-28
